"No.","Time","Source","Destination","Protocol","Length","Info"
"88","0.230173","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"89","0.230216","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=32447 Ack=10962 Win=8210 Len=0"
"90","0.239188","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"91","0.239188","159.180.236.246","192.168.1.12","TLSv1.2","339","Application Data"
"92","0.239248","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=32447 Ack=12622 Win=8212 Len=0"
"93","0.239389","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"94","0.248868","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"95","0.248966","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"96","0.249002","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"97","0.249073","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"98","0.249744","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"99","0.257338","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=12622 Ack=33943 Win=1025 Len=0"
"100","0.257338","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=12622 Ack=36791 Win=1025 Len=0"
"101","0.257338","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=12622 Ack=37718 Win=1025 Len=0"
"102","0.257338","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"103","0.258997","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"104","0.259021","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=37718 Ack=12766 Win=8211 Len=0"
"105","0.267097","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"106","0.267097","159.180.236.246","192.168.1.12","TLSv1.2","318","Application Data"
"107","0.267147","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=37718 Ack=14405 Win=8212 Len=0"
"108","0.267371","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"109","0.282876","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"110","0.282968","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"111","0.283011","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"112","0.283045","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"113","0.283700","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"114","0.291046","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=14405 Ack=39214 Win=1025 Len=0"
"115","0.291046","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=14405 Ack=42062 Win=1025 Len=0"
"116","0.291046","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=14405 Ack=42974 Win=1025 Len=0"
"117","0.291046","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"118","0.293092","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"119","0.293119","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=42974 Ack=14549 Win=8211 Len=0"
"120","0.301619","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"121","0.301619","159.180.236.246","192.168.1.12","TLSv1.2","333","Application Data"
"122","0.301759","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=42974 Ack=16203 Win=8212 Len=0"
"123","0.302264","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"124","0.304864","159.180.236.246","192.168.1.12","TLSv1.2","283","Application Data"
"125","0.310159","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"126","0.319017","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=16432 Ack=43227 Win=1025 Len=0"
"127","0.334126","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"128","0.334279","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"129","0.334349","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"130","0.334424","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"131","0.334474","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"132","0.336038","fe80::6eba:b8ff:fe02:9b3c","2001:861:8b90:b750:407f:f00e:1d83:9918","ICMPv6","86","Neighbor Solicitation for 2001:861:8b90:b750:407f:f00e:1d83:9918 from 6c:ba:b8:02:9b:3c"
"133","0.336091","2001:861:8b90:b750:407f:f00e:1d83:9918","fe80::6eba:b8ff:fe02:9b3c","ICMPv6","86","Neighbor Advertisement 2001:861:8b90:b750:407f:f00e:1d83:9918 (sol, ovr) is at 58:1c:f8:00:93:03"
"134","0.345281","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=16432 Ack=46075 Win=1025 Len=0"
"135","0.345281","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=16432 Ack=48221 Win=1025 Len=0"
"136","0.345281","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"137","0.345281","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"138","0.345464","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=48426 Ack=16576 Win=8211 Len=0"
"139","0.353419","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"140","0.353419","159.180.236.246","192.168.1.12","TLSv1.2","317","Application Data"
"141","0.353608","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=48426 Ack=18214 Win=8212 Len=0"
"142","0.354326","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"143","0.385290","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"144","0.385404","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"145","0.385446","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
